id,claim,label,true_label,content,similarity
91198,Colin Kaepernick became a starting quarterback during the 49ers 63rd season in the National Football League.,NOT ENOUGH INFO,False,"Colin Kaepernick: In the following seasons , Kaepernick lost and won back his starting job , with the 49ers missing the playoffs for three years consecutively .",0.8794249892234802
194462,Tilda Swinton is a vegan.,NOT ENOUGH INFO,False,"Tilda Swinton: Katherine Matilda `` Tilda '' Swinton -LRB- born 5 November 1960 -RRB- is a British actress , performance artist , model , and fashion muse , known for her roles in independent and Hollywood films .	performance artist	performance artist	independent	independent film	Hollywood films	Hollywood",0.8284991979598999
137334,Fox 2000 Pictures released the film Soul Food.,SUPPORTS,True,"Soul Food (film): Soul Food is a 1997 American comedy-drama film produced by Kenneth `` Babyface '' Edmonds , Tracey Edmonds and Robert Teitel and released by Fox 2000 Pictures .	Robert Teitel	Robert Teitel	comedy-drama film	comedy-drama film	Tracey Edmonds	Tracey Edmonds	Fox 2000 Pictures	Fox 2000 Pictures",0.864587664604187
166626,Anne Rice was born in New Jersey.,NOT ENOUGH INFO,False,"Anne Rice: Anne Rice -LRB- born Howard Allen Frances O'Brien ; October 4 , 1941 -RRB- is an American author of gothic fiction , Christian literature , and erotica .	gothic fiction	gothic fiction	Christian literature	Christian literature	erotica	erotica",0.8325634598731995
111897,Telemundo is a English-language television network.,REFUTES,False,Telemundo: Telemundo -LRB- -LSB- teleˈmundo -RSB- -RRB- is an American Spanish-language terrestrial television network owned by Comcast through the NBCUniversal division NBCUniversal Telemundo Enterprises .	NBCUniversal	NBCUniversal	Spanish	Spanish language	American	United States	Spanish-language	Spanish language	terrestrial	Terrestrial television	television network	television network	Comcast	Comcast,0.8908950090408325
89891,Damon Albarn's debut album was released in 2011.,REFUTES,False,"Damon Albarn: Damon Albarn , OBE -LRB- -LSB- ˈdeɪmən_ˈælbɑrn -RSB- born 23 March 1968 -RRB- is an English musician , singer , songwriter , multi-instrumentalist and record producer .	OBE	Order of the British Empire",0.8457244634628296
181634,There is a capital called Mogadishu.,SUPPORTS,True,"Mogadishu: , it has a population of 2,425,000 residents .",0.8822037577629089
219028,Savages was exclusively a German film.,REFUTES,False,Savages (2012 film): Savages is a 2012 American crime thriller film directed by Oliver Stone .	Oliver Stone	Oliver Stone	Savages	Savages (2010 novel)	crime	Crime film	thriller	Thriller (genre),0.7981613874435425
194372,Happiness in Slavery is a gospel song by Nine Inch Nails.,NOT ENOUGH INFO,False,"Happiness in Slavery: `` Happiness in Slavery '' is a song by American industrial rock band Nine Inch Nails from their debut extended play -LRB- EP -RRB- , Broken -LRB- 1992 -RRB- .	Nine Inch Nails	Nine Inch Nails	Broken	Broken (EP)	industrial rock	industrial rock",0.9456853866577148
108281,Andrew Kevin Walker is only Chinese.,REFUTES,False,"Andrew Kevin Walker: Andrew Kevin Walker -LRB- born August 14 , 1964 -RRB- is an American BAFTA-nominated screenwriter .	American	United States	BAFTA	British Academy of Film and Television Arts	screenwriter	screenwriter",0.8362006545066833
140846,Shooter is about an expert marksman who tries to stop the assassination of the president.,NOT ENOUGH INFO,False,Shooter (TV series): Shooter is an American television drama series based on the novel Point of Impact by Stephen Hunter and the 2007 film of the same name .	Point of Impact	Point of Impact	Stephen Hunter	Stephen Hunter	2007 film of the same name	Shooter (2007 film),0.8354295492172241
110177,House is a sitcom.,NOT ENOUGH INFO,False,"House (TV series): House -LRB- also called House , M.D. -RRB- is an American television medical drama that originally ran on the Fox network for eight seasons , from November 16 , 2004 to May 21 , 2012 .	Fox	Fox Broadcasting Company	medical drama	medical drama",0.8534582853317261
204361,The Cretaceous ended.,SUPPORTS,True,Cretaceous: It is the last period of the Mesozoic Era .	Mesozoic Era	Mesozoic Era,0.8604720234870911
54168,Murda Beatz's real name is Marshall Mathers.,REFUTES,False,"Eminem: Marshall Bruce Mathers III -LRB- born October 17 , 1972 -RRB- , known professionally as Eminem -LRB- often stylized as EMINƎM -RRB- , is an American rapper , record producer , and actor .",0.8667870759963989
105095,Nicholas Brody is a character on Homeland.,SUPPORTS,True,"Nicholas Brody: Nicholas `` Nick '' Brody , played by actor Damian Lewis , is a fictional character on the American television series Homeland on Showtime , created by Alex Gansa and Howard Gordon .	Homeland	Homeland (TV series)	Alex Gansa	Alex Gansa	Howard Gordon	Howard Gordon	Damian Lewis	Damian Lewis	fictional character	fictional character	Showtime	Showtime (TV network)",0.9120213389396667
18708,Charles Manson has been proven innocent of all crimes.,REFUTES,False,"Charles Manson: After Manson was charged with the crimes of which he was later convicted , recordings of songs written and performed by him were released commercially .",0.8373260498046875
90809,Sean Penn is only ever a stage actor.,REFUTES,False,"Sean Penn: Sean Justin Penn -LRB- born August 17 , 1960 -RRB- is an American actor , filmmaker , and political activist .",0.8261259198188782
167997,Don Bradman retired from soccer.,NOT ENOUGH INFO,False,"Don Bradman: A complex , highly driven man , not given to close personal relationships ,",0.8274270296096802
150773,L.A. Reid has served as the CEO of Arista Records for four years.,NOT ENOUGH INFO,False,"L.A. Reid: He has served as the chairman and CEO of Epic Records , a division of Sony Music Entertainment , the president and CEO of Arista Records , and the chairman and CEO of the Island Def Jam Music Group .	Arista	Arista Records	Def Jam	The Island Def Jam Music Group	Epic	Epic Records	Epic Records	Epic Records	Sony Music Entertainment	Sony Music Entertainment	Arista Records	Arista Records	Island Def Jam Music Group	Island Def Jam Music Group",0.8610050678253174
204443,Brad Wilk helped co-found Rage in 1962.,REFUTES,False,Brad Wilk: He is best known as the drummer of the rock bands Rage Against the Machine -LRB- 1991 -- 2000 ; 2007 -- 11 -RRB- and Audioslave -LRB- 2001 -- 07 -RRB- .	Rage Against the Machine	Rage Against the Machine	Audioslave	Audioslave,0.837194561958313
192714,CBS is the network that aired The Millers.,SUPPORTS,True,"The Millers: The multi-camera series aired from October 3 , 2013 to July 18 , 2015 and ran 34 episodes over two seasons on CBS .	CBS	CBS	multi-camera	Multiple-camera setup",0.8519059419631958
71182,Annette Badland was in the 2015 NBA Finals.,NOT ENOUGH INFO,False,"Annette Badland: Annette Badland -LRB- born 26 August 1949 -RRB- is an English actress known for a wide range of roles on TV , radio and film .",0.786841869354248
159706,Edgar Wright is a person.,SUPPORTS,True,"Edgar Wright: Edgar Howard Wright -LRB- born 18 April 1974 -RRB- is an English director , screenwriter , producer , and actor .",0.8831770420074463
107786,Ann Richards was professionally involved in politics.,SUPPORTS,True,"Caroline Kennedy: Most of Kennedy 's professional life has spanned law and politics , as well as education reform and charitable work .",0.8079746961593628
166846,Drake Bell put out an EP.,SUPPORTS,True,Drake Bell: Bell released an EP in 2011 called A Reminder independently .	A Reminder	A Reminder,0.8730027675628662
140764,Janet Leigh was incapable of writing.,REFUTES,False,"Janet Leigh: Janet Leigh -LRB- born Jeanette Helen Morrison ; July 6 , 1927 -- October 3 , 2004 -RRB- was an American actress , singer , dancer and author .",0.8443057537078857
197381,Simón Bolívar is only known as Simón Bolívar.,REFUTES,False,"Bolivia: After the first call for independence in 1809 , 16 years of war followed before the establishment of the Republic , named for Simón Bolívar , on 6 August 1825 .	Simón Bolívar	Simón Bolívar",0.8071898221969604
187000,Bermuda Triangle is in the western part of the Himalayas.,REFUTES,False,"Bermuda Triangle: The Bermuda Triangle , also known as the Devil 's Triangle , is a loosely-defined region in the western part of the North Atlantic Ocean , where a number of aircraft and ships are said to have disappeared under mysterious circumstances .	Atlantic Ocean	Atlantic Ocean	aircraft	aircraft	ships	Surface ship",0.8694446682929993
32266,Colin Kaepernick became a starter during the 49ers 63rd season in the Republican Party.,NOT ENOUGH INFO,False,"Colin Kaepernick: In the following seasons , Kaepernick lost and won back his starting job , with the 49ers missing the playoffs for three years consecutively .",0.8690244555473328
196758,"Marnie was directed by someone who was ""The Master of Nothing"".",NOT ENOUGH INFO,False,Marnie (film): Marnie is a 1964 American psychological thriller film directed by Alfred Hitchcock .	Alfred Hitchcock	Alfred Hitchcock	Marnie	Marnie	psychological thriller film	psychological thriller,0.8145691156387329
142454,Advertising is a personal message.,REFUTES,False,"Advertising: It is differentiated from personal selling in that the message is nonpersonal , i.e. , not directed to a particular individual .",0.8859916925430298
147411,Hot Right Now is mistakenly attributed to DJ Fresh.,REFUTES,False,"Hot Right Now: `` Hot Right Now '' is a single by British drum and bass producer DJ Fresh , released as the second single from his third studio album , Nextlevelism .	DJ Fresh	DJ Fresh	Nextlevelism	Nextlevelism	drum and bass	drum and bass",0.8659731149673462
215136,Private Lives is a three act play from 1930.,NOT ENOUGH INFO,False,Private Lives: Private Lives is a 1930 comedy of manners in three acts by Noël Coward .	Noël Coward	Noël Coward	comedy of manners	comedy of manners,0.8951588273048401
227362,Giada at Home was only available on DVD.,REFUTES,False,"Giada at Home: An episode on April 19 , 2015 rated 641,000 U.S. viewers .",0.8226603269577026
145512,"Harold Macmillan was born on February 20, 1894.",REFUTES,False,"Harold Macmillan: Maurice Harold Macmillan , 1st Earl of Stockton , -LRB- 10 February 1894 -- 29 December 1986 -RRB- was a British Conservative politician and statesman who served as the Prime Minister of the United Kingdom from 10 January 1957 to 19 October 1963 .	Prime Minister of the United Kingdom	Prime Minister of the United Kingdom	Conservative	Conservative Party (UK)	United Kingdom	United Kingdom	statesman	Politician",0.8516479730606079
64721,Aristotle spent time in Athens.,SUPPORTS,True,"Aristotle: Aristotle -LRB- -LSB- ˈærɪˌstɒtəl -RSB- Ἀριστοτέλης , -LSB- aristotélɛːs -RSB- , Aristotélēs ; 384 -- 322 BC -RRB- was an ancient Greek philosopher and scientist born in the city of Stagira , Chalkidice , on the northern periphery of Classical Greece .	Stagira	Stagira (ancient city)	Greece	Greece	ancient Greek	Ancient Greece	philosopher	philosopher	scientist	scientist	Chalkidice	Chalkidiki	Classical Greece	Classical Greece",0.8425576090812683
124667,David Packouz refused to be an entrepreneur.,REFUTES,False,"David Packouz: David Mordechai Packouz -LRB- -LSB- pækhaʊs -RSB- born February 16 , 1982 -RRB- is an American former arms dealer , musician , inventor and entrepreneur .",0.847535252571106
52175,Magic Johnson did not play for the Lakers.,REFUTES,False,"Magic Johnson: Earvin `` Magic '' Johnson Jr. -LRB- born August 14 , 1959 -RRB- is an American retired professional basketball player and current president of basketball operations of the Los Angeles Lakers of the National Basketball Association -LRB- NBA -RRB- .	Los Angeles Lakers	Los Angeles Lakers	NBA	National Basketball Association	basketball	basketball	National Basketball Association	National Basketball Association",0.8349236249923706
104386,Tenacious D started in 1997.,REFUTES,False,Tenacious D: The band first gained popularity in 1997 when they starred in their eponymous television series and began to support large rock acts .	television series	Tenacious D (TV series),0.854412317276001
55658,James VI and I was a major advocate of a single parliament for Scotland and England.,SUPPORTS,True,James VI and I: He was a major advocate of a single parliament for England and Scotland .	Scotland	Kingdom of Scotland	England	Kingdom of England,0.9110671281814575
201090,Marcus Bentley is a broadcaster.,SUPPORTS,True,"Marcus Bentley: Marcus Morgan Bentley -LRB- born 4 October 1967 -RRB- is a British actor , broadcaster and voice-over artist .	British	British nationality law	voice-over artist	voice-over	broadcaster	presenter	actor	actor	voice-over	voice-over",0.8642832040786743
129441,Saxony is in Ireland.,REFUTES,False,"Saxony: Saxony is the tenth largest of Germany 's sixteen states , with an area of 18,413 km2 , and the sixth most populous , with 4 million people .	Germany	Germany",0.8140221834182739
107039,In the End has baseball in it.,NOT ENOUGH INFO,False,The Closer: Television .,0.8086357116699219
207543,Mel B released a song on Virgin Records in 2007.,SUPPORTS,True,"Paramore: , was released in 2007 .",0.8445752859115601
132134,Noah Cyrus is a younger sister of Macy Grey.,REFUTES,False,"Noah Cyrus: Noah Lindsey Cyrus -LRB- born January 8 , 2000 -RRB- is an American actress and singer .",0.8743098974227905
128123,Mohra is a truck.,REFUTES,False,"Mohra: Mohra -LRB- Pawn -RRB- is a 1994 Indian action thriller film directed by Rajiv Rai starring Akshay Kumar , Sunil Shetty , Raveena Tandon and Naseeruddin Shah in the lead roles with Paresh Rawal , Gulshan Grover , Raza Murad and Sadashiv Amrapurkar in supporting roles .	Rajiv Rai	Rajiv Rai	Akshay Kumar	Akshay Kumar	Raveena Tandon	Raveena Tandon	Naseeruddin Shah	Naseeruddin Shah	Paresh Rawal	Paresh Rawal	Gulshan Grover	Gulshan Grover	action thriller	action thriller	Sunil Shetty	Sunil Shetty	Raza Murad	Raza Murad	Sadashiv Amrapurkar	Sadashiv Amrapurkar",0.8428101539611816
86175,Hourglass is performed by a Russian singer-songwriter.,REFUTES,False,Hourglass (James Taylor album): Hourglass is singer-songwriter James Taylor 's fourteenth studio album .	James Taylor	James Taylor	singer-songwriter	singer-songwriter,0.8253164291381836
31963,Shane Black was born in 1961.,SUPPORTS,True,"Shane Black: Shane Black -LRB- born December 16 , 1961 -RRB- is an American screenwriter , director , producer and actor , known for writing the 1987 action film hit Lethal Weapon , and his directorial debut with the film Kiss Kiss Bang Bang in 2005 .	action film	action film	Lethal Weapon	Lethal Weapon	Kiss Kiss Bang Bang	Kiss Kiss Bang Bang",0.8691519498825073
71126,A View to a Kill is an action movie.,NOT ENOUGH INFO,False,"A View to a Kill: A View to a Kill -LRB- 1985 -RRB- is the fourteenth spy film of the James Bond series , and the seventh and last to star Roger Moore as the fictional MI6 agent James Bond .	James Bond	James Bond filmography	Roger Moore	Roger Moore	spy film	spy film	MI6	Secret Intelligence Service	A View to a Kill	A View to a Kill (song)",0.8559128046035767
73623,Papua comprised all of Indonesia.,NOT ENOUGH INFO,False,Papua (province): It was formerly called Irian Jaya -LRB- before that West Irian or Irian Barat -RRB- and comprised all of Indonesian New Guinea .	Indonesian	Indonesian language,0.8598201274871826
41665,"There are not rumors that Augustus' wife, Livia, poisoned him.",REFUTES,False,"Augustus: He probably died from natural causes , although there were unconfirmed rumors that his wife Livia poisoned him .	Livia	Livia",0.8705891966819763
71959,Jennifer Lopez made a single.,SUPPORTS,True,"Jennifer Lopez: The Remixes , became the first in history to debut at number one on the U.S. Billboard 200 .",0.865917444229126
229316,A working animal is trained to perform life saving tasks.,NOT ENOUGH INFO,False,Working animal: Other animals including dogs and monkeys provide assistance to blind or disabled people .,0.8632527589797974
121113,Billboard Dad is a genre of music.,NOT ENOUGH INFO,False,Billboard Dad: It was produced by Warner Bros. in collaboration with Dualstar Productions and Tapestry Films -LRB- now Screendoor -RRB- .,0.823986291885376
21775,Vedam was written and directed by Christopher Nolan.,REFUTES,False,"Vedam (film): Vedam -LRB- English : Chant -RRB- is a 2010 Telugu language Indian drama film written and directed by Radhakrishna Jagarlamudi , starring Allu Arjun , Manoj Manchu , Anushka Shetty , Manoj Bajpayee , Saranya Ponvannan , Deeksha Seth , Lekha Washington , and Siya Gautham .	Radhakrishna Jagarlamudi	Radhakrishna Jagarlamudi	Anushka Shetty	Anushka Shetty	Allu Arjun	Allu Arjun	Manoj Manchu	Manoj Manchu	Deeksha Seth	Deeksha Seth	Manoj Bajpayee	Manoj Bajpayee	Saranya Ponvannan	Saranya Ponvannan	Lekha Washington	Lekha Washington	Telugu language	Telugu language	drama film	drama film",0.8448946475982666
112988,Men in Black II stars eight children.,NOT ENOUGH INFO,False,"Men in Black II: Men in Black II -LRB- stylized as MIIB -RRB- is a 2002 American science fiction action comedy film starring Tommy Lee Jones , Will Smith , Lara Flynn Boyle , Johnny Knoxville , Rosario Dawson , Tony Shalhoub and Rip Torn .	Tommy Lee Jones	Tommy Lee Jones	Will Smith	Will Smith	Lara Flynn Boyle	Lara Flynn Boyle	Johnny Knoxville	Johnny Knoxville	Rosario Dawson	Rosario Dawson	Tony Shalhoub	Tony Shalhoub	Rip Torn	Rip Torn	science fiction	science fiction film	action comedy film	action film#Subgenres	Men in Black	Men in Black (film)",0.8412246108055115
173496,Sancho Panza is a character in Don Quixote.,SUPPORTS,True,Sancho Panza: Sancho Panza -LSB- ˈsantʃo ˈpanθa -RSB- is a fictional character in the novel Don Quixote written by Spanish author Don Miguel de Cervantes Saavedra in 1605 .	Don Quixote	Don Quixote	Miguel de Cervantes	Miguel de Cervantes	Spanish	Spain	fictional character	fictional character	Don Miguel de Cervantes Saavedra	Miguel de Cervantes,0.9075803756713867
43608,Magic Johnson was a tap dancer.,REFUTES,False,Magic Johnson: He played point guard for the Lakers for 13 seasons .	point guard	point guard,0.8163071870803833
66638,The Adventures of Pluto Nash was reviewed by Ron Underwood.,REFUTES,False,The Adventures of Pluto Nash: The Adventures of Pluto Nash is a 2002 Australian-American science fiction action comedy film starring Eddie Murphy -LRB- in a dual role -RRB- and directed by Ron Underwood .	Ron Underwood	Ron Underwood	Eddie Murphy	Eddie Murphy	science fiction	science fiction film	action	action film	comedy film	comedy film,0.8633754253387451
26839,Hedda Gabler's world premiere took place at the Battle of Hastings.,REFUTES,False,"Hedda Gabler: The title character , Hedda , is considered one of the great dramatic roles in theatre .",0.8456494808197021
40351,Brazzers is a company.,SUPPORTS,True,"Brazzers: Brazzers -LRB- -LSB- ˈbræzərz -RSB- -RRB- is a pornographic production company based in Montreal , Canada .	Montreal	Montreal	pornographic	Pornography	production company	production company",0.8890433311462402
15307,Tim Roth is an English actor.,SUPPORTS,True,Tim Roth: Timothy Simon Roth -LRB- born 14 May 1961 -RRB- is an English actor and director .,0.9206041097640991
